Classification,Name
abrasive-scrub,Salix-Alba-Bark-Powder
abrasive-scrub,Salt-Mine-Mud
abrasive-scrub,Salvia-Hispanica-Seed
abrasive-scrub,Salvia-Hispanica-Seed-Powder
abrasive-scrub,Sand
abrasive-scrub,Scutellaria-Baicalensis-Root-Powder
abrasive-scrub,Secale-Cereale-Seed-Extract
abrasive-scrub,Sesamum-Indicum-Seed
abrasive-scrub,Silicon
abrasive-scrub,Simmondsia-Chinensis-Seed-Extract
abrasive-scrub,Sodium-Bicarbonate
abrasive-scrub,Sodium-Hydroxypropyl-Starch-Phosphate
abrasive-scrub,Sodium-Magnesium-Fluorosilicate
abrasive-scrub,Sodium-Silicoaluminate
abrasive-scrub,Sodium-Tetrahydrojasmonate
abrasive-scrub,Stemona-Sessifolia-Root-Powder
abrasive-scrub,Syringa-Oblata-Bark/Leaf-Powder
abrasive-scrub,Talc
abrasive-scrub,Tetrahydrojasmonic-Acid
abrasive-scrub,Theobroma-Cacao-Husk
abrasive-scrub,Theobroma-Cacao-Seed-Powder
abrasive-scrub,Theobroma-Cacao-Shell-Powder
abrasive-scrub,Theobroma-Grandiflorum-Seed-Powder
abrasive-scrub,Tin-Oxide
abrasive-scrub,Topaz
abrasive-scrub,Tricalcium-Phosphate
abrasive-scrub,Triticum-Vulgare-Bran
abrasive-scrub,Triticum-Vulgare-Kernel-Flour
abrasive-scrub,Triticum-Vulgare-Starch
abrasive-scrub,Urtica-Dioica-Leaf-Powder
abrasive-scrub,Vaccinium-Angustifolium-Seed
abrasive-scrub,Vaccinium-Corymbosum-Seed
abrasive-scrub,Vaccinium-Macrocarpon-Seed
abrasive-scrub,Vaccinium-Macrocarpon-Seed-Powder
abrasive-scrub,Vaccinium-Myrtillus-Seedcake-Powder
abrasive-scrub,Vanilla-Planifolia-Seed-Powder
abrasive-scrub,Vanilla-Tahitensis-Seed
abrasive-scrub,Vibrio-Alginolyticus-Ferment-Filtrate
abrasive-scrub,Volcanic-Ash
abrasive-scrub,Volcanic-Rock
abrasive-scrub,Wood-Powder
abrasive-scrub,Zea-Mays-Cob-Meal
abrasive-scrub,Zea-Mays-Cob-Powder
abrasive-scrub,Zea-Mays-Kernel-Meal
abrasive-scrub,Zea-Mays-Seed-Flour
abrasive-scrub,Zea-Mays-Starch
absorbent-mattifier,Acrylates-Crosspolymer
absorbent-mattifier,Acrylates/Ethylhexyl-Acrylate-Crosspolymer
absorbent-mattifier,Acrylonitrile/Methacrylonitrile/Methyl-Methacrylate-Copolymer
absorbent-mattifier,Alumina
absorbent-mattifier,Aluminum-Magnesium-Oxide
absorbent-mattifier,Aluminum-Silicate
absorbent-mattifier,Aluminum-Starch-Octenylsuccinate
absorbent-mattifier,Ammonium-Silver-Zinc-Aluminum-Silicate
absorbent-mattifier,Amylodextrin
absorbent-mattifier,Aphanothece-Sacrum-Exopolysaccharides
absorbent-mattifier,Aphanothece-Sacrum-Polysaccharide
absorbent-mattifier,Attapulgite
absorbent-mattifier,Avena-Sativa-Bran
absorbent-mattifier,Avena-Sativa-Kernel-Flour
absorbent-mattifier,Avena-Sativa-Kernel-Meal
absorbent-mattifier,Avena-Sativa-Starch
absorbent-mattifier,Barosma-Betulina-Leaf-Extract
absorbent-mattifier,Bentonite
absorbent-mattifier,Bismuth-Subnitrate
absorbent-mattifier,Boron-Nitride
absorbent-mattifier,Butyl-Acrylate/Glycol-Dimethacrylate-Crosspolymer
absorbent-mattifier,Calamine
absorbent-mattifier,Calcium-Silicate
absorbent-mattifier,Calcium-Starch-Octenylsuccinate
absorbent-mattifier,Cellulose
absorbent-mattifier,Cereus-Grandiflorus-Seed-Powder
absorbent-mattifier,Chalk
absorbent-mattifier,Charcoal-Powder
absorbent-mattifier,Citrus-Aurantium-Dulcis-Peel-Powder
absorbent-mattifier,Citrus-Limon-Peel-Powder
absorbent-mattifier,Clay
absorbent-mattifier,Colloidal-Oatmeal
absorbent-mattifier,Corn-Starch-Modified
absorbent-mattifier,Cyclodextrin
absorbent-mattifier,Dextrin
absorbent-mattifier,Dimethylimidazolidinone-Rice-Starch
absorbent-mattifier,Distarch-Phosphate
absorbent-mattifier,Dvb/Isobornyl-Methacrylate/Lauryl-Methacrylate-Copolymer
absorbent-mattifier,Fuller'S-Earth
absorbent-mattifier,Glyceryl-Starch
absorbent-mattifier,Gossypium-Herbaceum-Powder
absorbent-mattifier,Hectorite
absorbent-mattifier,Helianthus-Annuus-Seed-Flour
absorbent-mattifier,Helichrysum-Italicum-Leaf-Cell-Extract
absorbent-mattifier,Hordeum-Vulgare-Flour
absorbent-mattifier,Hydrated-Silica
absorbent-mattifier,Hydrolyzed-Caesalpinia-Spinosa-Gum
absorbent-mattifier,Hydrolyzed-Corn-Starch-Octenylsuccinate
absorbent-mattifier,Illite
absorbent-mattifier,Kaolin
absorbent-mattifier,Limonia-Acidissima-Wood-Powder
absorbent-mattifier,Linum-Usitatissimum-Seed-Flour
absorbent-mattifier,Lithium-Magnesium-Sodium-Silicate
absorbent-mattifier,Loess
absorbent-mattifier,Magnesium-Aluminometasilicate
absorbent-mattifier,Magnesium-Aluminum-Silicate
absorbent-mattifier,Magnesium-Carbonate
absorbent-mattifier,Magnesium-Hydroxide
absorbent-mattifier,Magnesium-Oxide
absorbent-mattifier,Magnesium-Silicate
absorbent-mattifier,Magnesium-Trisilicate
absorbent-mattifier,Malpighia-Emarginata-Fruit-Powder
absorbent-mattifier,Maltodextrin
absorbent-mattifier,Manicouagan-Clay
absorbent-mattifier,Methyl-Methacrylate-Crosspolymer
absorbent-mattifier,Microcrystalline-Cellulose
absorbent-mattifier,Montmorillonite
absorbent-mattifier,Moroccan-Lava-Clay
absorbent-mattifier,Nylon-6/12
absorbent-mattifier,Nylon-611
absorbent-mattifier,Oryza-Sativa-Extract
absorbent-mattifier,Oryza-Sativa-Starch
absorbent-mattifier,Perlite
absorbent-mattifier,Pistacia-Lentiscus-Gum
absorbent-mattifier,Pisum-Sativum-Starch
absorbent-mattifier,Polyethyloxazoline
absorbent-mattifier,Polyurea-Crosspolymer-1
absorbent-mattifier,Pseudoalteromonas-Ferment-Extract
absorbent-mattifier,Salix-Alba-Bark-Powder
absorbent-mattifier,Salt-Mine-Mud
absorbent-mattifier,Silica
absorbent-mattifier,Silica-Dimethicone-Silylate
absorbent-mattifier,Silica-Silylate
absorbent-mattifier,Silt
absorbent-mattifier,Sodium-Acrylates-Crosspolymer-2
absorbent-mattifier,Sodium-Magnesium-Fluorosilicate
absorbent-mattifier,Sodium-Polyacrylate-Starch
absorbent-mattifier,Sodium-Silver-Aluminum-Silicate
absorbent-mattifier,Sodium-Starch-Octenylsuccinate
absorbent-mattifier,Solanum-Tuberosum-Starch
absorbent-mattifier,Solum-Fullonum
absorbent-mattifier,Styrene/Stearyl-Methacrylate-Crosspolymer
absorbent-mattifier,Talc
absorbent-mattifier,Tanakura-Clay
absorbent-mattifier,Tapioca-Starch-Polymethylsilsesquioxane
absorbent-mattifier,Triticum-Vulgare-Starch
absorbent-mattifier,Undaria-Pinnatifida-Powder
absorbent-mattifier,Volcanic-Ash
absorbent-mattifier,Wood-Powder
absorbent-mattifier,Zea-Mays-Seed-Flour
absorbent-mattifier,Zea-Mays-Starch
absorbent-mattifier,Zeolite
absorbent-mattifier,Zinc-Zeolite
anti-acne,Adapalene
anti-acne,Azelaic-Acid
anti-acne,Benzoyl-Peroxide
anti-acne,Berberis-Vulgaris-Root-Extract
anti-acne,Lauric-Acid
anti-acne,Melaleuca-Alternifolia-Leaf-Oil
anti-acne,Niacinamide
anti-acne,Phellodendron-Amurense-Bark-Extract
anti-acne,Phytosphingosine
anti-acne,Potassium-Azeloyl-Diglycinate
anti-acne,Salicylic-Acid
anti-acne,Sodium-Ascorbyl-Phosphate
anti-acne,Sulfur
anti-acne,Zinc-Gluconate
anti-acne,Zinc-Pca
antimicrobial-antibacterial,4-Ethylresorcinol
antimicrobial-antibacterial,Abies-Alba-Seed-Oil
antimicrobial-antibacterial,Agastache-Rugosa-Extract
antimicrobial-antibacterial,Albizia-Lebbeck-Leaf
antimicrobial-antibacterial,Alcloxa
antimicrobial-antibacterial,Alcohol
antimicrobial-antibacterial,Alcohol-Denat.
antimicrobial-antibacterial,Allium-Cepa-Bulb-Extract
antimicrobial-antibacterial,Allium-Cepa-Bulb-Oil
antimicrobial-antibacterial,Alpinia-Speciosa-Leaf-Water
antimicrobial-antibacterial,Alpinia-Zerumbet-Leaf-Extract
antimicrobial-antibacterial,Aluminum-Benzoate
antimicrobial-antibacterial,Aluminum-Diacetate
antimicrobial-antibacterial,Aluminum-Hydroxide-Oxide
antimicrobial-antibacterial,Aminolevulinic-Acid-Hcl
antimicrobial-antibacterial,Arrabidaea-Chica-Leaf/Stem-Extract
antimicrobial-antibacterial,Artemisia-Absinthium-Oil
antimicrobial-antibacterial,Artemisia-Annua-Leaf-Extract
antimicrobial-antibacterial,Artocarpus-Altilis-Wood-Extract
antimicrobial-antibacterial,Artocarpus-Lakoocha-Wood-Extract
antimicrobial-antibacterial,Asparagus-Racemosus-Root-Extract
antimicrobial-antibacterial,Azelamidopropyl-Dimethyl-Amine
antimicrobial-antibacterial,Bacillus/Citrus-Unshiu-Peel-Extract-Ferment-Filtrate
antimicrobial-antibacterial,Bakuchiol
antimicrobial-antibacterial,Bamboo-Vinegar
antimicrobial-antibacterial,Benzalkonium-Chloride
antimicrobial-antibacterial,Benzethonium-Chloride
antimicrobial-antibacterial,Benzisothiazolinone
antimicrobial-antibacterial,Benzyl-Benzoate
antimicrobial-antibacterial,Benzylparaben
antimicrobial-antibacterial,Berberis-Vulgaris-Root-Extract
antimicrobial-antibacterial,Betaine-Salicylate
antimicrobial-antibacterial,Betula-Papyrifera-Bark-Extract
antimicrobial-antibacterial,Bifonazole
antimicrobial-antibacterial,Bispyrithione
antimicrobial-antibacterial,Boric-Acid
antimicrobial-antibacterial,Brassica-Campestris-Flower-Extract
antimicrobial-antibacterial,Butyroyl-Glutathione
antimicrobial-antibacterial,C12-15-Alkyl-Benzoate
antimicrobial-antibacterial,C12-15-Pareth-3-Benzoate
antimicrobial-antibacterial,Caffeoyl-Hexapeptide-65
antimicrobial-antibacterial,Calophyllum-Inophyllum-Seed-Oil
antimicrobial-antibacterial,Camphor-Benzalkonium-Methosulfate
antimicrobial-antibacterial,Candida-Bombicola/Glucose/Methyl-Rapeseedate-Ferment
antimicrobial-antibacterial,Caprylyl-Glycol-Linseedate
antimicrobial-antibacterial,Capsicum-Annuum-Fruit-Extract
antimicrobial-antibacterial,Cardiospermum-Halicacabum-Seed-Extract
antimicrobial-antibacterial,Cassia-Alata-Leaf-Extract
antimicrobial-antibacterial,Centella-Asiatica-Callus-Extract
antimicrobial-antibacterial,Centella-Asiatica-Oil
antimicrobial-antibacterial,Cetethyl-Morpholinium-Ethosulfate
antimicrobial-antibacterial,Cetrimonium-Bromide
antimicrobial-antibacterial,Cetrimonium-Chloride
antimicrobial-antibacterial,Cetrimonium-Methosulfate
antimicrobial-antibacterial,Cetylpyridinium-Chloride
antimicrobial-antibacterial,Chamaecyparis-Formosensis-Wood-Oil
antimicrobial-antibacterial,Chamomilla-Recutita-Flower/Leaf-Extract
antimicrobial-antibacterial,Chloramine-T
antimicrobial-antibacterial,Chlorhexidine
antimicrobial-antibacterial,Chlorhexidine-Diacetate
antimicrobial-antibacterial,Chlorhexidine-Digluconate
antimicrobial-antibacterial,Chlorhexidine-Dihydrochloride
antimicrobial-antibacterial,Chlorhexidine-Diundecylenate
antimicrobial-antibacterial,Chlorine-Dioxide
antimicrobial-antibacterial,Chlorophene
antimicrobial-antibacterial,Chloroxylenol
antimicrobial-antibacterial,Chlorphenesin
antimicrobial-antibacterial,Chrysanthemum-Sibiricum-Extract
antimicrobial-antibacterial,Ciclopirox-Olamine
antimicrobial-antibacterial,Cimicifuga-Racemosa-Root-Extract
antimicrobial-antibacterial,Cinnamomum-Cassia-Bark/Syzgium-Aromaticum-Bud/Rosmarinus-Officinalis-Leaf/Thymus-Vulgaris-Leaf-Oil
antimicrobial-antibacterial,Cinnamomum-Zeylanicum-Bark-Extract
antimicrobial-antibacterial,Cinnamosma-Fragrans-Leaf-Oil
antimicrobial-antibacterial,Climbazole
antimicrobial-antibacterial,Clotrimazole
antimicrobial-antibacterial,Cocotrimonium-Chloride
antimicrobial-antibacterial,Colloidal-Gold
antimicrobial-antibacterial,Colloidal-Platinum
antimicrobial-antibacterial,Colloidal-Silver
antimicrobial-antibacterial,Colloidal-Sulfur
antimicrobial-antibacterial,Commiphora-Myrrha-Resin-Extract
antimicrobial-antibacterial,Copper-Carbonate-Hydroxide
antimicrobial-antibacterial,Copper-Citrate
antimicrobial-antibacterial,Copper-Usnate
antimicrobial-antibacterial,Coptis-Japonica-Extract
antimicrobial-antibacterial,Coptis-Japonica-Rhizome-Extract
antimicrobial-antibacterial,Coriandrum-Sativum-Fruit-Extract
antimicrobial-antibacterial,Coriandrum-Sativum-Leaf-Extract
antimicrobial-antibacterial,Crataegus-Oxyacantha-Stem-Extract
antimicrobial-antibacterial,Crotamiton
antimicrobial-antibacterial,Curcuma-Xanthorrhiza-Root-Powder
antimicrobial-antibacterial,Decyloxazolidinone
antimicrobial-antibacterial,Dequalinium-Chloride
antimicrobial-antibacterial,Dibromopropamidine-Diisethionate
antimicrobial-antibacterial,Dichlorobenzyl-Alcohol
antimicrobial-antibacterial,Dichlorophenyl-Imidazoldioxolan
antimicrobial-antibacterial,Dimethylol-Urea
antimicrobial-antibacterial,Dodecylbenzyltrimonium-Chloride
antimicrobial-antibacterial,Domiphen-Bromide
antimicrobial-antibacterial,Elettaria-Cardamomum-Fruit-Extract
antimicrobial-antibacterial,Enterococcus-Faecalis-Ferment
antimicrobial-antibacterial,Epimedium-Koreanum-Extract
antimicrobial-antibacterial,Eucalyptus-Globulus-Leaf-Oil
antimicrobial-antibacterial,Eugenia-Uniflora-Leaf-Oil
antimicrobial-antibacterial,Euphorbia-Supina-Stem-Extract
antimicrobial-antibacterial,Ferula-Galbaniflua-Gum-Extract
antimicrobial-antibacterial,Ferula-Galbaniflua-Resin-Oil
antimicrobial-antibacterial,Ferulic-Acid
antimicrobial-antibacterial,Fullerenes
antimicrobial-antibacterial,Galla-Rhois-Gallnut-Extract
antimicrobial-antibacterial,Glycerol-Formal
antimicrobial-antibacterial,Glycine-Max-Phytoplacenta-Extract
antimicrobial-antibacterial,Glyoxal
antimicrobial-antibacterial,Guaiazulene
antimicrobial-antibacterial,Hamamelis-Virginiana--Leaf-Extract
antimicrobial-antibacterial,Hamamelis-Virginiana-Bark/Leaf/Twig-Extract
antimicrobial-antibacterial,Hamamelis-Virginiana-Extract
antimicrobial-antibacterial,Hamamelis-Virginiana-Leaf-Water
antimicrobial-antibacterial,Hedera-Helix-Extract
antimicrobial-antibacterial,Hedera-Helix-Leaf/Stem-Extract
antimicrobial-antibacterial,Hexetidine
antimicrobial-antibacterial,Hexylresorcinol
antimicrobial-antibacterial,Hibiscus-Taiwanensis-Extract
antimicrobial-antibacterial,Hippophae-Rhamnoides-Fruit/Seed-Oil
antimicrobial-antibacterial,Honey
antimicrobial-antibacterial,Hornet-Extract
antimicrobial-antibacterial,Humulus-Lupulus-Cone-Extract
antimicrobial-antibacterial,Humulus-Lupulus-Extract
antimicrobial-antibacterial,Hydrogen-Peroxide
antimicrobial-antibacterial,Hydrolyzed-Prunus-Domestica-Fruit-Extract
antimicrobial-antibacterial,Hydrolyzed-Sasa-Veitchii-Extract
antimicrobial-antibacterial,Hydroxyethyl-Isobutyl-Piperidine-Carboxylate
antimicrobial-antibacterial,Hypericum-Perforatum-Extract
antimicrobial-antibacterial,Hypericum-Perforatum-Flower/Twig-Extract
antimicrobial-antibacterial,Hypoxis-Hemerocallidea-Bulb-Extract
antimicrobial-antibacterial,Ichthammol
antimicrobial-antibacterial,Ictasol
antimicrobial-antibacterial,Isobutylparaben
antimicrobial-antibacterial,Isodecylparaben
antimicrobial-antibacterial,Juniperus-Communis-Sprout-Extract
antimicrobial-antibacterial,Kigelia-Africana-Fruit-Extract
antimicrobial-antibacterial,Lactobacillus-Lysate
antimicrobial-antibacterial,Lactobacillus/Radish-Root-Ferment-Filtrate
antimicrobial-antibacterial,Lactobacillus/Scutellaria-Baicalensis-Root/Camellia-Sinensis-Leaf/Artemisia-Princeps-Leaf/Houttuynia-Cordata-Leaf/Citrus-Junos-Fruit-Extract-Ferment-Filtrate
antimicrobial-antibacterial,Lactococcus/Bean-Seed-Extract-Ferment-Filtrate
antimicrobial-antibacterial,Larix-Sibirica-Wood-Extract
antimicrobial-antibacterial,Lauryl-Diethylenediaminoglycine-Hcl
antimicrobial-antibacterial,Laurylpyridinium-Chloride
antimicrobial-antibacterial,Lavandula-Angustifolia-Oil
antimicrobial-antibacterial,Lawsonia-Inermis-Extract
antimicrobial-antibacterial,Lens-Culinaris-Seed-Extract
antimicrobial-antibacterial,Leptospermum-Scoparium-Branch/Leaf-Oil
antimicrobial-antibacterial,Lespedeza-Cuneata-Extract
antimicrobial-antibacterial,Leuconostoc-Ferment-Filtrate
antimicrobial-antibacterial,Leuconostoc/Aloe-Barbadensis-Leaf/Sorbus-Aucuparia-Fruit-Ferment-Filtrate
antimicrobial-antibacterial,Leuconostoc/Radish-Root-Ferment-Filtrate
antimicrobial-antibacterial,Lilium-Candidum-Callus-Culture-Extract
antimicrobial-antibacterial,Lippia-Origanoides-Leaf/Flower/Stem-Oil
antimicrobial-antibacterial,Lonicera-Japonica-Flower-Extract
antimicrobial-antibacterial,Maackia-Fauriei-Stem-Extract
antimicrobial-antibacterial,Macelignan
antimicrobial-antibacterial,Mafenide-Hcl
antimicrobial-antibacterial,Magnolia-Grandiflora-Bark-Extract
antimicrobial-antibacterial,Magnolia-Officinalis-Bark-Extract
antimicrobial-antibacterial,Mallotus-Japonicus-Leaf-Extract
antimicrobial-antibacterial,Mandelic-Acid
antimicrobial-antibacterial,Maytenus-Macrocarpa-Bark-Extract
antimicrobial-antibacterial,Mdm-Hydantoin
antimicrobial-antibacterial,Melaleuca-Alternifolia-Leaf-Extract
antimicrobial-antibacterial,Melaleuca-Alternifolia-Leaf-Oil
antimicrobial-antibacterial,Melaleuca-Alternifolia-Leaf-Water
antimicrobial-antibacterial,Melia-Azadirachta-Bark-Extract
antimicrobial-antibacterial,Melilotus-Albus-Flower/Leaf/Stem-Extract
antimicrobial-antibacterial,Melissa-Officinalis-Leaf-Oil
antimicrobial-antibacterial,Miconazole-Nitrate
antimicrobial-antibacterial,Moringa-Oleifera-Leaf-Powder
antimicrobial-antibacterial,Morus-Bombycis-Extract
antimicrobial-antibacterial,Morus-Bombycis-Wood-Extract
antimicrobial-antibacterial,Myrtus-Communis-Extract
antimicrobial-antibacterial,Natamycin
antimicrobial-antibacterial,Nelumbo-Nucifera-Callus-Culture-Extract
antimicrobial-antibacterial,Nelumbo-Nucifera-Phytoplacenta-Culture-Extract
antimicrobial-antibacterial,Nelumbo-Nucifera-Seed-Extract
antimicrobial-antibacterial,Nobiletin
antimicrobial-antibacterial,O-Cymen-5-Ol
antimicrobial-antibacterial,Octenidine-Hcl
antimicrobial-antibacterial,Oenanthe-Javanica-Extract
antimicrobial-antibacterial,Oligopeptide-10
antimicrobial-antibacterial,Oligopeptide-11
antimicrobial-antibacterial,Oligopeptide-191
antimicrobial-antibacterial,Oligopeptide-8
antimicrobial-antibacterial,Origanum-Dictamnus-Flower/Leaf/Stem-Extract
antimicrobial-antibacterial,Orostachys-Japonica-Extract
antimicrobial-antibacterial,Oryza-Sativa-Seed-Water
antimicrobial-antibacterial,Osmunda-Regalis-Leaf-Extract
antimicrobial-antibacterial,Ostrich-Egg-Yolk-Extract
antimicrobial-antibacterial,Ovalicin
antimicrobial-antibacterial,Oxyquinoline-Sulfate
antimicrobial-antibacterial,Ozonized-Ethyl-Oleate
antimicrobial-antibacterial,P-Cresol
antimicrobial-antibacterial,PPG-1/PEG-1-Stearamine
antimicrobial-antibacterial,Paeonia-Suffruticosa-Callus-Extract
antimicrobial-antibacterial,Palmitoyl-Hexapeptide-26
antimicrobial-antibacterial,Peat
antimicrobial-antibacterial,Pelargonium-Graveolens-Leaf-Oil
antimicrobial-antibacterial,Pelargonium-Graveolens-Leaf/Flower-Oil
antimicrobial-antibacterial,Phenyl-Salicylate
antimicrobial-antibacterial,Phormium-Tenax-Leaf-Extract
antimicrobial-antibacterial,Phyllanthus-Niruri-Extract
antimicrobial-antibacterial,Phytosphingosine
antimicrobial-antibacterial,Pinus-Cembra-Leaf/Twig-Oil
antimicrobial-antibacterial,Pinus-Densiflora-Leaf-Extract
antimicrobial-antibacterial,Pinus-Densiflora-Leaf-Powder
